City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Makakilo City,US,2022-02-12 15:13:53,21.3469,-158.0858,70.68,82,0,4.61
146,Great Yarmouth,GB,2022-02-12 15:13:53,52.6083,1.7305,48.94,67,100,25.26
147,Santa Isabel Do Rio Negro,BR,2022-02-12 15:13:54,-0.4139,-65.0192,86.25,63,100,4.83
148,Santarem,BR,2022-02-12 15:13:54,-2.4431,-54.7083,82.53,89,40,10.36
149,Hamilton,US,2022-02-12 15:11:35,39.1834,-84.5333,32.74,79,100,12.66
150,Aklavik,CA,2022-02-12 15:13:54,68.2191,-135.0107,-35.97,100,36,4.59
151,Asau,RO,2022-02-12 15:13:55,46.4333,26.4,37.96,63,100,4.38
152,Tandil,AR,2022-02-12 15:13:55,-37.3217,-59.1332,65.48,41,0,11.99
153,Saint-Augustin,CA,2022-02-12 15:13:55,51.226,-58.6502,28.36,95,100,17.09
154,Dikson,RU,2022-02-12 15:13:56,73.5069,80.5464,0.73,76,100,27.47
155,Mount Gambier,AU,2022-02-12 15:13:56,-37.8333,140.7667,61.38,64,67,5.44
156,Thinadhoo,MV,2022-02-12 15:13:56,0.5333,72.9333,82.04,68,100,8.34
157,Nantucket,US,2022-02-12 15:13:49,41.2835,-70.0995,54.61,71,0,16.11
158,Shirgaon,IN,2022-02-12 15:13:57,19.7,72.7,73.53,62,11,9.37
159,Beian,NO,2022-02-12 15:13:57,63.6559,9.5683,37.0,93,75,13.8
160,Aykhal,RU,2022-02-12 15:13:57,66.0,111.5,-5.46,100,86,4.85
161,Fortuna,US,2022-02-12 15:13:58,40.5982,-124.1573,47.32,76,0,10.36
162,Cherskiy,RU,2022-02-12 15:13:58,68.75,161.3,-24.21,98,100,8.68
163,Ratnagiri,IN,2022-02-12 15:13:58,16.9833,73.3,76.24,67,5,11.32
164,Xichang,CN,2022-02-12 15:13:59,27.8964,102.2634,39.87,76,36,6.62
165,Samana,DO,2022-02-12 15:13:59,19.2056,-69.3369,78.76,94,75,6.91
166,Katsuura,JP,2022-02-12 15:13:59,35.1333,140.3,42.91,56,100,3.18
167,Oranjestad,AW,2022-02-12 15:14:00,12.524,-70.027,84.15,65,40,24.16
168,Wielun,PL,2022-02-12 15:14:00,51.221,18.5696,34.9,54,2,7.05
169,Klyuchi,RU,2022-02-12 15:14:00,52.2667,79.1667,13.15,87,100,12.55
170,Santa Lucia,ES,2022-02-12 15:14:01,27.9117,-15.5407,64.76,68,20,27.63
