City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
138,Berdigestyakh,RU,62.0989,126.6992,-24.66,100,100,1.74,overcast clouds
139,San Cristobal,VE,7.7669,-72.225,77.18,39,80,6.71,broken clouds
140,Rongcheng,CN,30.634,117.8517,42.73,95,99,0.65,overcast clouds
141,Olinda,BR,-8.0089,-34.8553,87.53,62,40,9.22,scattered clouds
142,Batagay-Alyta,RU,67.8006,130.4114,-9.18,86,100,3.27,overcast clouds
143,Marasu,RO,44.85,27.9667,35.11,66,100,6.42,overcast clouds
144,Itarema,BR,-2.9248,-39.9167,86.23,62,80,14.61,broken clouds
145,Adrar,MR,20.5022,-10.0711,76.42,12,33,12.53,scattered clouds
146,Hasaki,JP,35.7333,140.8333,36.0,96,100,35.14,overcast clouds
147,Teguldet,RU,57.3064,88.1667,0.46,92,27,9.4,scattered clouds
148,Longyearbyen,SJ,78.2186,15.6401,12.04,92,75,1.14,light snow
149,Alta Floresta,BR,-9.8756,-56.0861,78.17,88,99,4.68,overcast clouds
150,Tefe,BR,-3.3542,-64.7114,87.91,74,40,9.22,scattered clouds
151,Kapuskasing,CA,49.4169,-82.4331,-9.4,54,20,4.61,few clouds
152,Sioux Lookout,CA,50.1001,-91.917,-16.22,76,0,4.61,clear sky
153,Bo Rai,TH,12.5728,102.5371,83.86,88,83,1.28,broken clouds
154,Marsa Matruh,EG,31.3525,27.2453,59.2,63,40,8.05,scattered clouds
155,Merauke,ID,-8.4667,140.3333,78.64,81,7,10.6,clear sky
156,Mar Del Plata,AR,-38.0023,-57.5575,68.02,72,0,11.99,clear sky
157,Kavaratti,IN,10.5669,72.642,81.27,68,5,5.17,clear sky
158,Rahden,DE,52.4333,8.6167,48.38,56,100,14.72,overcast clouds
159,Ilulissat,GL,69.2167,-51.1,19.42,58,75,9.22,broken clouds
160,Khatanga,RU,71.9667,102.5,-25.13,93,85,2.17,overcast clouds
161,Zabaykalsk,RU,49.6333,117.3167,-20.81,100,56,4.38,broken clouds
162,Iwamizawa,JP,43.2003,141.7597,21.25,94,95,2.37,overcast clouds
163,Sao Filipe,CV,14.8961,-24.4956,76.95,55,26,13.6,scattered clouds
164,Dunedin,NZ,-45.8742,170.5036,52.81,80,49,7.0,scattered clouds
165,Lucea,JM,18.451,-78.1736,80.85,63,5,11.9,clear sky
166,Caravelas,BR,-17.7125,-39.2481,83.3,66,96,10.6,heavy intensity rain
167,Mokhotlong,LS,-29.2894,29.0675,59.02,88,100,4.5,moderate rain
168,Port Washington,US,40.8257,-73.6982,33.85,91,100,11.99,snow
169,Saskylakh,RU,71.9167,114.0833,-15.05,84,44,3.69,scattered clouds
170,Yakeshi,CN,49.2833,120.7333,-32.91,100,88,1.86,overcast clouds
171,Thompson,CA,55.7435,-97.8558,-11.04,77,100,5.75,overcast clouds
172,Port Hardy,CA,50.6996,-127.4199,41.76,100,75,2.3,broken clouds
173,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,78,71,6.89,broken clouds
174,Komsomolskiy,UZ,40.4272,71.7189,39.92,81,75,0.0,mist
175,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,66,99,6.22,overcast clouds
176,Soyo,AO,-6.1349,12.3689,80.71,79,21,10.51,few clouds
177,Fier,AL,40.7239,19.5561,51.78,76,98,1.79,overcast clouds
178,Ust-Barguzin,RU,53.45,108.9833,-18.15,93,62,5.37,broken clouds
179,Bandarbeyla,SO,9.4942,50.8122,76.14,63,39,18.72,scattered clouds
180,Hamilton,US,39.1834,-84.5333,25.57,62,20,8.05,few clouds
181,Yongan,CN,39.6957,113.6871,5.27,94,95,4.0,overcast clouds
182,Vidnoye,RU,55.5524,37.7097,30.45,74,0,6.71,light snow
183,Tamisan,PH,6.8437,126.2984,76.08,79,75,5.23,broken clouds
184,Rio Gallegos,AR,-51.6226,-69.2181,54.57,36,22,50.55,few clouds
185,Zheleznodorozhnyy,RU,55.7503,38.0042,30.61,92,98,7.61,light snow
186,Orsha,BY,54.5153,30.4053,30.31,85,96,12.97,overcast clouds
187,Norman Wells,CA,65.282,-126.8329,-14.76,70,75,4.61,broken clouds
188,Biak,ID,-0.9131,122.8766,74.46,87,100,3.02,overcast clouds
189,West Plains,US,36.7281,-91.8524,36.43,43,0,6.91,clear sky
190,Cabo San Lucas,MX,22.8909,-109.9124,77.61,42,100,3.44,overcast clouds
191,Wang Saphung,TH,17.301,101.7685,81.09,71,82,0.78,broken clouds
192,Carnarvon,AU,-24.8667,113.6333,80.67,83,20,9.22,few clouds
193,Ocos,GT,14.5094,-92.1933,90.73,61,55,7.34,broken clouds
194,Machachi,EC,-0.5,-78.5667,60.3,85,100,4.72,light rain
195,Bengkulu,ID,-3.8004,102.2655,77.5,87,100,4.07,overcast clouds
196,Synya,RU,65.3718,58.0387,12.6,94,99,7.34,overcast clouds
197,Nuuk,GL,64.1835,-51.7216,12.81,92,100,10.36,light snow
198,Ambon,ID,-3.6954,128.1814,76.71,89,100,2.57,overcast clouds
199,Svetlogorsk,BY,52.6333,29.7333,28.27,77,41,9.73,scattered clouds
200,Imbituba,BR,-28.24,-48.6703,85.89,57,2,15.37,clear sky
201,Worland,US,44.0169,-107.9554,33.15,69,0,0.0,clear sky
202,Vostok,RU,46.4856,135.8833,1.04,98,100,1.43,overcast clouds
203,Chara,RU,56.9064,118.2631,-26.45,82,20,0.87,few clouds
204,Henties Bay,NA,-22.116,14.2845,76.86,78,13,7.45,few clouds
205,Dingle,PH,10.9995,122.6711,74.86,92,90,6.64,overcast clouds
206,Kon Tum,VN,14.35,108.0,67.01,97,37,2.98,scattered clouds
207,Sitka,US,57.0531,-135.33,35.49,80,100,3.44,overcast clouds
208,Nelson Bay,AU,-32.7167,152.15,66.0,71,41,10.09,scattered clouds
209,Roebourne,AU,-20.7833,117.1333,85.48,65,23,13.87,few clouds
210,Roros,NO,62.5747,11.3842,31.84,74,100,6.91,overcast clouds
211,Luderitz,NA,-26.6481,15.1594,75.43,64,7,16.2,clear sky
212,Palana,RU,59.1167,159.9667,-8.48,94,90,6.78,overcast clouds
213,Ahipara,NZ,-35.1667,173.1667,63.79,63,30,8.63,scattered clouds
214,Meulaboh,ID,4.1363,96.1285,76.95,88,70,3.4,broken clouds
215,Mareeba,AU,-17.0,145.4333,70.52,89,11,2.17,few clouds
216,Vila,PT,42.0304,-8.1588,44.33,92,100,9.01,overcast clouds
217,Udachnyy,RU,66.4167,112.4,-20.65,97,29,1.48,scattered clouds
218,Manokwari,ID,-0.8667,134.0833,77.86,82,100,4.81,overcast clouds
219,Umm Lajj,SA,25.0213,37.2685,70.97,53,0,2.77,clear sky
220,Verkhoyansk,RU,67.5447,133.385,-18.15,93,100,1.23,overcast clouds
221,Upernavik,GL,72.7868,-56.1549,-5.66,95,100,11.63,overcast clouds
222,Kopanos,GR,40.6336,22.1303,49.6,83,95,3.62,overcast clouds
223,Kangaatsiaq,GL,68.3065,-53.4641,7.43,89,100,16.49,overcast clouds
224,Soubre,CI,5.7856,-6.6083,84.38,57,88,2.71,overcast clouds
225,Zhigansk,RU,66.7697,123.3711,-34.38,100,98,2.89,overcast clouds
226,Shaoguan,CN,24.8,113.5833,44.82,93,86,2.82,overcast clouds
227,Saldanha,ZA,-33.0117,17.9442,78.85,85,19,27.67,few clouds
228,Hobyo,SO,5.3505,48.5268,77.38,70,39,14.27,scattered clouds
229,Mitu,CO,1.1983,-70.1733,88.34,52,100,2.51,overcast clouds
230,Nantucket,US,41.2835,-70.0995,36.14,84,100,17.11,overcast clouds
231,Maues,BR,-3.3836,-57.7186,83.16,77,99,4.25,overcast clouds
232,Corner Brook,CA,48.9667,-57.9484,24.96,87,100,10.94,light snow
233,San Quintin,MX,30.4833,-115.95,73.15,19,46,0.69,scattered clouds
234,Gravelbourg,CA,49.8834,-106.5512,34.07,78,38,17.49,scattered clouds
235,Margate,GB,51.3813,1.3862,47.3,81,100,11.01,light rain
236,El Rosario,MX,24.2556,-107.1828,75.15,16,98,2.19,overcast clouds
237,Arman,RU,59.7,150.1667,-11.09,80,29,8.5,scattered clouds
238,Lamont,US,35.2597,-118.9143,77.13,19,24,1.66,few clouds
239,Yining,CN,29.0361,114.5636,44.53,79,97,1.95,overcast clouds
240,Kamaishi,JP,39.2667,141.8833,33.89,67,100,3.85,overcast clouds
241,Fraga,ES,41.5229,0.3489,59.83,62,60,13.91,broken clouds
242,Bumba,CD,2.1833,22.4667,84.13,31,98,2.44,overcast clouds
243,Melilla,ES,35.2937,-2.9383,62.8,72,0,4.61,clear sky
244,Half Moon Bay,US,37.4636,-122.4286,65.88,81,0,0.0,clear sky
245,Muroto,JP,33.2833,134.15,48.22,77,100,12.28,light rain
246,Nova Odesa,UA,47.3078,31.7851,36.0,48,0,5.28,clear sky
247,Derzhavinsk,KZ,51.1,66.3167,5.52,99,97,5.41,overcast clouds
248,Sandwick,GB,60.0,-1.25,44.42,87,75,11.5,broken clouds
249,Jawhar,SO,2.7809,45.5005,77.22,64,100,16.22,overcast clouds
250,Mehamn,NO,71.0357,27.8492,21.38,87,97,11.25,overcast clouds
251,Oktyabrskiy,RU,54.4815,53.471,18.59,95,100,6.53,light snow
252,Caucaia,BR,-3.7361,-38.6531,87.75,73,75,13.8,broken clouds
253,Victoria,HK,22.2855,114.1577,60.24,88,100,8.99,light rain
254,Conway,US,35.0887,-92.4421,43.36,35,0,4.61,clear sky
255,Port Keats,AU,-14.25,129.55,76.28,81,98,4.74,overcast clouds
256,Rawson,AR,-43.3002,-65.1023,86.95,22,11,17.45,few clouds
